"environment"	"difficulty"	"option.order"	"trial"	"a"	"b"	"c"
"3377"	"dynamic"	"easy"	"mgb"	141	18	-12	15
"3401"	"dynamic"	"easy"	"mgb"	142	10	-11	20
"3425"	"dynamic"	"easy"	"mgb"	143	-5	3	-6
"3449"	"dynamic"	"easy"	"mgb"	144	-16	-10	-2
"3473"	"dynamic"	"easy"	"mgb"	145	13	-13	13
"3497"	"dynamic"	"easy"	"mgb"	146	8	8	20
"3521"	"dynamic"	"easy"	"mgb"	147	-11	-5	-4
"3545"	"dynamic"	"easy"	"mgb"	148	-10	-12	5
"3569"	"dynamic"	"easy"	"mgb"	149	-4	-10	-3
"3593"	"dynamic"	"easy"	"mgb"	150	-3	-4	-2
"3617"	"dynamic"	"easy"	"mgb"	151	4	3	8
"3641"	"dynamic"	"easy"	"mgb"	152	-2	-5	3
"3665"	"dynamic"	"easy"	"mgb"	153	6	-7	13
"3689"	"dynamic"	"easy"	"mgb"	154	11	-2	-10
"3713"	"dynamic"	"easy"	"mgb"	155	2	-19	2
"3737"	"dynamic"	"easy"	"mgb"	156	-12	-11	20
"3761"	"dynamic"	"easy"	"mgb"	157	-5	-3	-15
"3785"	"dynamic"	"easy"	"mgb"	158	3	-6	-12
"3809"	"dynamic"	"easy"	"mgb"	159	-13	0	8
"3833"	"dynamic"	"easy"	"mgb"	160	-14	-16	20
"3857"	"dynamic"	"easy"	"mgb"	161	1	-4	12
"3881"	"dynamic"	"easy"	"mgb"	162	9	-2	-6
"3905"	"dynamic"	"easy"	"mgb"	163	-8	-24	10
"3929"	"dynamic"	"easy"	"mgb"	164	9	-3	16
"3953"	"dynamic"	"easy"	"mgb"	165	14	-9	8
"3977"	"dynamic"	"easy"	"mgb"	166	-5	22	5
"4001"	"dynamic"	"easy"	"mgb"	167	-1	5	18
"4025"	"dynamic"	"easy"	"mgb"	168	7	-15	-15
"4049"	"dynamic"	"easy"	"mgb"	169	2	0	-6
"4073"	"dynamic"	"easy"	"mgb"	170	-1	-8	4
"4097"	"dynamic"	"easy"	"mgb"	171	-4	-10	-4
"4121"	"dynamic"	"easy"	"mgb"	172	-1	-1	9
"4145"	"dynamic"	"easy"	"mgb"	173	-3	-17	4
"4169"	"dynamic"	"easy"	"mgb"	174	-5	-22	11
"4193"	"dynamic"	"easy"	"mgb"	175	2	6	-1
"4217"	"dynamic"	"easy"	"mgb"	176	12	-5	15
"4241"	"dynamic"	"easy"	"mgb"	177	-28	-10	4
"4265"	"dynamic"	"easy"	"mgb"	178	-13	-26	15
"4289"	"dynamic"	"easy"	"mgb"	179	-9	-23	6
"4313"	"dynamic"	"easy"	"mgb"	180	-2	-20	3
"4337"	"dynamic"	"easy"	"mgb"	181	19	-8	23
"4361"	"dynamic"	"easy"	"mgb"	182	10	-4	-2
"4385"	"dynamic"	"easy"	"mgb"	183	-5	2	-4
"4409"	"dynamic"	"easy"	"mgb"	184	-11	-2	7
"4433"	"dynamic"	"easy"	"mgb"	185	1	12	5
"4457"	"dynamic"	"easy"	"mgb"	186	15	-12	7
"4481"	"dynamic"	"easy"	"mgb"	187	-17	-16	18
"4505"	"dynamic"	"easy"	"mgb"	188	1	-5	24
"4529"	"dynamic"	"easy"	"mgb"	189	4	-2	-16
"4553"	"dynamic"	"easy"	"mgb"	190	-1	-1	30
"4577"	"dynamic"	"easy"	"mgb"	191	-1	8	4
"4601"	"dynamic"	"easy"	"mgb"	192	7	-11	8
"4625"	"dynamic"	"easy"	"mgb"	193	6	-3	2
"4649"	"dynamic"	"easy"	"mgb"	194	0	-10	14
"4673"	"dynamic"	"easy"	"mgb"	195	-8	-6	-4
"4697"	"dynamic"	"easy"	"mgb"	196	0	-20	-9
"4721"	"dynamic"	"easy"	"mgb"	197	3	-9	8
"4745"	"dynamic"	"easy"	"mgb"	198	4	8	4
"4769"	"dynamic"	"easy"	"mgb"	199	-2	-3	-9
"4793"	"dynamic"	"easy"	"mgb"	200	-4	7	14
"7"	"dynamic"	"hard"	"bgm"	1	-28	-20	-11
"31"	"dynamic"	"hard"	"bgm"	2	-20	13	-29
"55"	"dynamic"	"hard"	"bgm"	3	-33	-25	-22
"79"	"dynamic"	"hard"	"bgm"	4	34	-10	-20
"103"	"dynamic"	"hard"	"bgm"	5	-14	2	-20
"127"	"dynamic"	"hard"	"bgm"	6	6	0	-2
"151"	"dynamic"	"hard"	"bgm"	7	-66	44	-35
"175"	"dynamic"	"hard"	"bgm"	8	-31	12	-8
"199"	"dynamic"	"hard"	"bgm"	9	14	27	23
"223"	"dynamic"	"hard"	"bgm"	10	-32	7	-43
"247"	"dynamic"	"hard"	"bgm"	11	-8	18	-24
"271"	"dynamic"	"hard"	"bgm"	12	-49	23	27
"295"	"dynamic"	"hard"	"bgm"	13	-3	31	24
"319"	"dynamic"	"hard"	"bgm"	14	2	-24	0
"343"	"dynamic"	"hard"	"bgm"	15	-39	11	-52
"367"	"dynamic"	"hard"	"bgm"	16	-1	-32	-10
"391"	"dynamic"	"hard"	"bgm"	17	21	-38	-94
"415"	"dynamic"	"hard"	"bgm"	18	-4	12	14
"439"	"dynamic"	"hard"	"bgm"	19	-4	-14	49
"463"	"dynamic"	"hard"	"bgm"	20	-9	24	28
"487"	"dynamic"	"hard"	"bgm"	21	26	-19	16
"511"	"dynamic"	"hard"	"bgm"	22	16	8	13
"535"	"dynamic"	"hard"	"bgm"	23	-26	-25	63
"559"	"dynamic"	"hard"	"bgm"	24	28	16	37
"583"	"dynamic"	"hard"	"bgm"	25	-22	18	-18
"607"	"dynamic"	"hard"	"bgm"	26	-46	25	3
"631"	"dynamic"	"hard"	"bgm"	27	71	44	7
"655"	"dynamic"	"hard"	"bgm"	28	21	-45	-19
"679"	"dynamic"	"hard"	"bgm"	29	-10	2	-30
"703"	"dynamic"	"hard"	"bgm"	30	21	-9	24
"727"	"dynamic"	"hard"	"bgm"	31	-27	-13	31
"751"	"dynamic"	"hard"	"bgm"	32	3	18	22
"775"	"dynamic"	"hard"	"bgm"	33	43	-28	5
"799"	"dynamic"	"hard"	"bgm"	34	-23	46	47
"823"	"dynamic"	"hard"	"bgm"	35	-5	-6	-6
"847"	"dynamic"	"hard"	"bgm"	36	-8	-3	-33
"871"	"dynamic"	"hard"	"bgm"	37	-22	-16	-9
"895"	"dynamic"	"hard"	"bgm"	38	-8	29	-37
"919"	"dynamic"	"hard"	"bgm"	39	-5	16	-10
"943"	"dynamic"	"hard"	"bgm"	40	-20	-40	-6
"967"	"dynamic"	"hard"	"bgm"	41	-25	6	-15
"991"	"dynamic"	"hard"	"bgm"	42	21	-14	23
"1015"	"dynamic"	"hard"	"bgm"	43	-31	18	31
"1039"	"dynamic"	"hard"	"bgm"	44	15	15	7
"1063"	"dynamic"	"hard"	"bgm"	45	-7	-38	-23
"1087"	"dynamic"	"hard"	"bgm"	46	-52	19	-7
"1111"	"dynamic"	"hard"	"bgm"	47	-21	-6	30
"1135"	"dynamic"	"hard"	"bgm"	48	-39	3	6
"1159"	"dynamic"	"hard"	"bgm"	49	-14	-62	-35
"1183"	"dynamic"	"hard"	"bgm"	50	0	58	27
"1207"	"dynamic"	"hard"	"bgm"	51	-48	35	-15
"1231"	"dynamic"	"hard"	"bgm"	52	15	6	43
"1255"	"dynamic"	"hard"	"bgm"	53	-11	-26	21
"1279"	"dynamic"	"hard"	"bgm"	54	-4	-6	13
"1303"	"dynamic"	"hard"	"bgm"	55	-2	55	-57
"1327"	"dynamic"	"hard"	"bgm"	56	-3	-25	35
"1351"	"dynamic"	"hard"	"bgm"	57	52	31	-18
"1375"	"dynamic"	"hard"	"bgm"	58	-8	17	21
"1399"	"dynamic"	"hard"	"bgm"	59	-29	0	38
"1423"	"dynamic"	"hard"	"bgm"	60	24	1	-14
"1447"	"dynamic"	"hard"	"bgm"	61	20	12	-51
"1471"	"dynamic"	"hard"	"bgm"	62	-32	24	-43
"1495"	"dynamic"	"hard"	"bgm"	63	-1	64	-4
"1519"	"dynamic"	"hard"	"bgm"	64	35	8	-18
"1543"	"dynamic"	"hard"	"bgm"	65	-6	12	25
"1567"	"dynamic"	"hard"	"bgm"	66	17	-50	-48
"1591"	"dynamic"	"hard"	"bgm"	67	16	61	1
"1615"	"dynamic"	"hard"	"bgm"	68	4	-2	-24
"1639"	"dynamic"	"hard"	"bgm"	69	-37	14	-17
"1663"	"dynamic"	"hard"	"bgm"	70	14	-15	-1
"1687"	"dynamic"	"hard"	"bgm"	71	46	55	-24
"1711"	"dynamic"	"hard"	"bgm"	72	41	-8	-6
"1735"	"dynamic"	"hard"	"bgm"	73	-29	0	-48
"1759"	"dynamic"	"hard"	"bgm"	74	9	40	-41
"1783"	"dynamic"	"hard"	"bgm"	75	22	-1	11
"1807"	"dynamic"	"hard"	"bgm"	76	6	-1	44
"1831"	"dynamic"	"hard"	"bgm"	77	15	35	30
"1855"	"dynamic"	"hard"	"bgm"	78	27	65	16
"1879"	"dynamic"	"hard"	"bgm"	79	20	-12	49
"1903"	"dynamic"	"hard"	"bgm"	80	-80	15	0
"1927"	"dynamic"	"hard"	"bgm"	81	0	-9	10
"1951"	"dynamic"	"hard"	"bgm"	82	-6	10	-4
"1975"	"dynamic"	"hard"	"bgm"	83	33	17	8
"1999"	"dynamic"	"hard"	"bgm"	84	-17	4	17
"2023"	"dynamic"	"hard"	"bgm"	85	0	-14	-19
"2047"	"dynamic"	"hard"	"bgm"	86	13	32	-13
"2071"	"dynamic"	"hard"	"bgm"	87	55	-7	57
"2095"	"dynamic"	"hard"	"bgm"	88	-5	-34	-11
"2119"	"dynamic"	"hard"	"bgm"	89	-38	0	21
"2143"	"dynamic"	"hard"	"bgm"	90	-23	20	44
"2167"	"dynamic"	"hard"	"bgm"	91	10	34	-69
"2191"	"dynamic"	"hard"	"bgm"	92	-17	-31	11
"2215"	"dynamic"	"hard"	"bgm"	93	-63	14	-41
"2239"	"dynamic"	"hard"	"bgm"	94	-19	-5	12
"2263"	"dynamic"	"hard"	"bgm"	95	-17	42	-5
"2287"	"dynamic"	"hard"	"bgm"	96	-17	1	45
"2311"	"dynamic"	"hard"	"bgm"	97	-27	-16	10
"2335"	"dynamic"	"hard"	"bgm"	98	9	-44	33
"2359"	"dynamic"	"hard"	"bgm"	99	-44	-17	8
"2383"	"dynamic"	"hard"	"bgm"	100	-9	17	25
"2407"	"dynamic"	"hard"	"bgm"	101	14	-36	12
"2431"	"dynamic"	"hard"	"bgm"	102	-18	6	5
"2455"	"dynamic"	"hard"	"bgm"	103	-17	28	0
"2479"	"dynamic"	"hard"	"bgm"	104	3	11	53
"2503"	"dynamic"	"hard"	"bgm"	105	27	7	55
"2527"	"dynamic"	"hard"	"bgm"	106	3	49	-32
"2551"	"dynamic"	"hard"	"bgm"	107	6	23	-8
"2575"	"dynamic"	"hard"	"bgm"	108	-5	46	-25
"2599"	"dynamic"	"hard"	"bgm"	109	-86	-31	2
"2623"	"dynamic"	"hard"	"bgm"	110	13	-28	1
"2647"	"dynamic"	"hard"	"bgm"	111	29	4	-53
"2671"	"dynamic"	"hard"	"bgm"	112	30	-11	-30
"2695"	"dynamic"	"hard"	"bgm"	113	4	-43	-25
"2719"	"dynamic"	"hard"	"bgm"	114	4	65	-81
"2743"	"dynamic"	"hard"	"bgm"	115	1	-19	10
"2767"	"dynamic"	"hard"	"bgm"	116	2	7	20
"2791"	"dynamic"	"hard"	"bgm"	117	22	-19	-1
"2815"	"dynamic"	"hard"	"bgm"	118	51	-9	-29
"2839"	"dynamic"	"hard"	"bgm"	119	-4	-38	-30
"2863"	"dynamic"	"hard"	"bgm"	120	-10	31	33
"2887"	"dynamic"	"hard"	"bgm"	121	-15	38	-15
"2911"	"dynamic"	"hard"	"bgm"	122	18	-48	44
"2935"	"dynamic"	"hard"	"bgm"	123	12	32	-11
"2959"	"dynamic"	"hard"	"bgm"	124	-35	6	34
"2983"	"dynamic"	"hard"	"bgm"	125	75	8	-72
"3007"	"dynamic"	"hard"	"bgm"	126	9	-37	-36
"3031"	"dynamic"	"hard"	"bgm"	127	32	0	20
"3055"	"dynamic"	"hard"	"bgm"	128	17	-5	56
"3079"	"dynamic"	"hard"	"bgm"	129	38	-19	-37
"3103"	"dynamic"	"hard"	"bgm"	130	5	23	37
"3127"	"dynamic"	"hard"	"bgm"	131	28	-63	-46
"3151"	"dynamic"	"hard"	"bgm"	132	-3	-25	-43
"3175"	"dynamic"	"hard"	"bgm"	133	21	11	59
"3199"	"dynamic"	"hard"	"bgm"	134	-41	-68	-7
"3223"	"dynamic"	"hard"	"bgm"	135	-70	-58	22
"3247"	"dynamic"	"hard"	"bgm"	136	18	-49	-10
"3271"	"dynamic"	"hard"	"bgm"	137	22	20	41
"3295"	"dynamic"	"hard"	"bgm"	138	36	28	27
"3319"	"dynamic"	"hard"	"bgm"	139	-25	-23	49
"3343"	"dynamic"	"hard"	"bgm"	140	-16	-27	-16
"3367"	"dynamic"	"hard"	"bgm"	141	19	16	18
"3391"	"dynamic"	"hard"	"bgm"	142	43	32	48
"3415"	"dynamic"	"hard"	"bgm"	143	-41	2	-38
"3439"	"dynamic"	"hard"	"bgm"	144	-52	-1	-10
"3463"	"dynamic"	"hard"	"bgm"	145	15	10	0
"3487"	"dynamic"	"hard"	"bgm"	146	-56	-6	-28
"3511"	"dynamic"	"hard"	"bgm"	147	31	-30	1
"3535"	"dynamic"	"hard"	"bgm"	148	4	6	-4
"3559"	"dynamic"	"hard"	"bgm"	149	0	-32	-22
"3583"	"dynamic"	"hard"	"bgm"	150	5	-7	13
"3607"	"dynamic"	"hard"	"bgm"	151	-19	30	3
"3631"	"dynamic"	"hard"	"bgm"	152	16	22	32
"3655"	"dynamic"	"hard"	"bgm"	153	15	-43	-11
"3679"	"dynamic"	"hard"	"bgm"	154	40	11	1
"3703"	"dynamic"	"hard"	"bgm"	155	-16	47	25
"3727"	"dynamic"	"hard"	"bgm"	156	4	-8	4
"3751"	"dynamic"	"hard"	"bgm"	157	-58	12	-5
"3775"	"dynamic"	"hard"	"bgm"	158	32	-40	-25
"3799"	"dynamic"	"hard"	"bgm"	159	59	-52	0
"3823"	"dynamic"	"hard"	"bgm"	160	43	-46	-19
"3847"	"dynamic"	"hard"	"bgm"	161	5	-9	-63
"3871"	"dynamic"	"hard"	"bgm"	162	15	-25	29
"3895"	"dynamic"	"hard"	"bgm"	163	-46	-5	-51
"3919"	"dynamic"	"hard"	"bgm"	164	30	29	-27
"3943"	"dynamic"	"hard"	"bgm"	165	-6	-20	30
"3967"	"dynamic"	"hard"	"bgm"	166	-3	8	6
"3991"	"dynamic"	"hard"	"bgm"	167	-1	31	-19
"4015"	"dynamic"	"hard"	"bgm"	168	3	13	26
"4039"	"dynamic"	"hard"	"bgm"	169	-24	-4	53
"4063"	"dynamic"	"hard"	"bgm"	170	15	-34	1
"4087"	"dynamic"	"hard"	"bgm"	171	39	-7	-21
"4111"	"dynamic"	"hard"	"bgm"	172	-24	24	42
"4135"	"dynamic"	"hard"	"bgm"	173	5	-77	11
"4159"	"dynamic"	"hard"	"bgm"	174	-23	-7	21
"4183"	"dynamic"	"hard"	"bgm"	175	53	-10	-25
"4207"	"dynamic"	"hard"	"bgm"	176	-10	-23	-6
"4231"	"dynamic"	"hard"	"bgm"	177	-84	29	16
"4255"	"dynamic"	"hard"	"bgm"	178	45	33	11
"4279"	"dynamic"	"hard"	"bgm"	179	31	-12	-19
"4303"	"dynamic"	"hard"	"bgm"	180	16	10	-27
"4327"	"dynamic"	"hard"	"bgm"	181	36	-12	25
"4351"	"dynamic"	"hard"	"bgm"	182	34	59	-8
"4375"	"dynamic"	"hard"	"bgm"	183	17	-25	-12
"4399"	"dynamic"	"hard"	"bgm"	184	27	-56	99
"4423"	"dynamic"	"hard"	"bgm"	185	-6	3	-11
"4447"	"dynamic"	"hard"	"bgm"	186	-7	-23	2
"4471"	"dynamic"	"hard"	"bgm"	187	-10	-17	-16
"4495"	"dynamic"	"hard"	"bgm"	188	-52	35	4
"4519"	"dynamic"	"hard"	"bgm"	189	40	4	30
"4543"	"dynamic"	"hard"	"bgm"	190	-7	-22	-35
"4567"	"dynamic"	"hard"	"bgm"	191	19	37	-3
"4591"	"dynamic"	"hard"	"bgm"	192	32	-33	-10
"4615"	"dynamic"	"hard"	"bgm"	193	-5	29	-8
"4639"	"dynamic"	"hard"	"bgm"	194	38	-11	-25
"4663"	"dynamic"	"hard"	"bgm"	195	-29	-75	-8
"4687"	"dynamic"	"hard"	"bgm"	196	-12	30	3
"4711"	"dynamic"	"hard"	"bgm"	197	9	-4	1
"4735"	"dynamic"	"hard"	"bgm"	198	59	-22	-7
"4759"	"dynamic"	"hard"	"bgm"	199	17	-61	25
"4783"	"dynamic"	"hard"	"bgm"	200	-17	7	5
"3"	"dynamic"	"hard"	"bmg"	1	-28	-11	-20
"27"	"dynamic"	"hard"	"bmg"	2	-20	-29	13
"51"	"dynamic"	"hard"	"bmg"	3	-33	-22	-25
"75"	"dynamic"	"hard"	"bmg"	4	34	-20	-10
"99"	"dynamic"	"hard"	"bmg"	5	-14	-20	2
"123"	"dynamic"	"hard"	"bmg"	6	6	-2	0
"147"	"dynamic"	"hard"	"bmg"	7	-66	-35	44
"171"	"dynamic"	"hard"	"bmg"	8	-31	-8	12
"195"	"dynamic"	"hard"	"bmg"	9	14	23	27
"219"	"dynamic"	"hard"	"bmg"	10	-32	-43	7
"243"	"dynamic"	"hard"	"bmg"	11	-8	-24	18
"267"	"dynamic"	"hard"	"bmg"	12	-49	27	23
"291"	"dynamic"	"hard"	"bmg"	13	-3	24	31
"315"	"dynamic"	"hard"	"bmg"	14	2	0	-24
"339"	"dynamic"	"hard"	"bmg"	15	-39	-52	11
"363"	"dynamic"	"hard"	"bmg"	16	-1	-10	-32
"387"	"dynamic"	"hard"	"bmg"	17	21	-94	-38
"411"	"dynamic"	"hard"	"bmg"	18	-4	14	12
"435"	"dynamic"	"hard"	"bmg"	19	-4	49	-14
"459"	"dynamic"	"hard"	"bmg"	20	-9	28	24
"483"	"dynamic"	"hard"	"bmg"	21	26	16	-19
"507"	"dynamic"	"hard"	"bmg"	22	16	13	8
"531"	"dynamic"	"hard"	"bmg"	23	-26	63	-25
"555"	"dynamic"	"hard"	"bmg"	24	28	37	16
"579"	"dynamic"	"hard"	"bmg"	25	-22	-18	18
"603"	"dynamic"	"hard"	"bmg"	26	-46	3	25
"627"	"dynamic"	"hard"	"bmg"	27	71	7	44
"651"	"dynamic"	"hard"	"bmg"	28	21	-19	-45
"675"	"dynamic"	"hard"	"bmg"	29	-10	-30	2
"699"	"dynamic"	"hard"	"bmg"	30	21	24	-9
"723"	"dynamic"	"hard"	"bmg"	31	-27	31	-13
"747"	"dynamic"	"hard"	"bmg"	32	3	22	18
"771"	"dynamic"	"hard"	"bmg"	33	43	5	-28
"795"	"dynamic"	"hard"	"bmg"	34	-23	47	46
"819"	"dynamic"	"hard"	"bmg"	35	-5	-6	-6
"843"	"dynamic"	"hard"	"bmg"	36	-8	-33	-3
"867"	"dynamic"	"hard"	"bmg"	37	-22	-9	-16
"891"	"dynamic"	"hard"	"bmg"	38	-8	-37	29
"915"	"dynamic"	"hard"	"bmg"	39	-5	-10	16
"939"	"dynamic"	"hard"	"bmg"	40	-20	-6	-40
"963"	"dynamic"	"hard"	"bmg"	41	-25	-15	6
"987"	"dynamic"	"hard"	"bmg"	42	21	23	-14
"1011"	"dynamic"	"hard"	"bmg"	43	-31	31	18
"1035"	"dynamic"	"hard"	"bmg"	44	15	7	15
"1059"	"dynamic"	"hard"	"bmg"	45	-7	-23	-38
"1083"	"dynamic"	"hard"	"bmg"	46	-52	-7	19
"1107"	"dynamic"	"hard"	"bmg"	47	-21	30	-6
"1131"	"dynamic"	"hard"	"bmg"	48	-39	6	3
"1155"	"dynamic"	"hard"	"bmg"	49	-14	-35	-62
"1179"	"dynamic"	"hard"	"bmg"	50	0	27	58
"1203"	"dynamic"	"hard"	"bmg"	51	-48	-15	35
"1227"	"dynamic"	"hard"	"bmg"	52	15	43	6
"1251"	"dynamic"	"hard"	"bmg"	53	-11	21	-26
"1275"	"dynamic"	"hard"	"bmg"	54	-4	13	-6
"1299"	"dynamic"	"hard"	"bmg"	55	-2	-57	55
"1323"	"dynamic"	"hard"	"bmg"	56	-3	35	-25
"1347"	"dynamic"	"hard"	"bmg"	57	52	-18	31
"1371"	"dynamic"	"hard"	"bmg"	58	-8	21	17
"1395"	"dynamic"	"hard"	"bmg"	59	-29	38	0
"1419"	"dynamic"	"hard"	"bmg"	60	24	-14	1
"1443"	"dynamic"	"hard"	"bmg"	61	20	-51	12
"1467"	"dynamic"	"hard"	"bmg"	62	-32	-43	24
"1491"	"dynamic"	"hard"	"bmg"	63	-1	-4	64
"1515"	"dynamic"	"hard"	"bmg"	64	35	-18	8
"1539"	"dynamic"	"hard"	"bmg"	65	-6	25	12
"1563"	"dynamic"	"hard"	"bmg"	66	17	-48	-50
"1587"	"dynamic"	"hard"	"bmg"	67	16	1	61
"1611"	"dynamic"	"hard"	"bmg"	68	4	-24	-2
"1635"	"dynamic"	"hard"	"bmg"	69	-37	-17	14
"1659"	"dynamic"	"hard"	"bmg"	70	14	-1	-15
"1683"	"dynamic"	"hard"	"bmg"	71	46	-24	55
"1707"	"dynamic"	"hard"	"bmg"	72	41	-6	-8
"1731"	"dynamic"	"hard"	"bmg"	73	-29	-48	0
"1755"	"dynamic"	"hard"	"bmg"	74	9	-41	40
"1779"	"dynamic"	"hard"	"bmg"	75	22	11	-1
"1803"	"dynamic"	"hard"	"bmg"	76	6	44	-1
"1827"	"dynamic"	"hard"	"bmg"	77	15	30	35
"1851"	"dynamic"	"hard"	"bmg"	78	27	16	65
"1875"	"dynamic"	"hard"	"bmg"	79	20	49	-12
"1899"	"dynamic"	"hard"	"bmg"	80	-80	0	15
"1923"	"dynamic"	"hard"	"bmg"	81	0	10	-9
"1947"	"dynamic"	"hard"	"bmg"	82	-6	-4	10
"1971"	"dynamic"	"hard"	"bmg"	83	33	8	17
"1995"	"dynamic"	"hard"	"bmg"	84	-17	17	4
"2019"	"dynamic"	"hard"	"bmg"	85	0	-19	-14
"2043"	"dynamic"	"hard"	"bmg"	86	13	-13	32
"2067"	"dynamic"	"hard"	"bmg"	87	55	57	-7
"2091"	"dynamic"	"hard"	"bmg"	88	-5	-11	-34
"2115"	"dynamic"	"hard"	"bmg"	89	-38	21	0
"2139"	"dynamic"	"hard"	"bmg"	90	-23	44	20
"2163"	"dynamic"	"hard"	"bmg"	91	10	-69	34
"2187"	"dynamic"	"hard"	"bmg"	92	-17	11	-31
"2211"	"dynamic"	"hard"	"bmg"	93	-63	-41	14
"2235"	"dynamic"	"hard"	"bmg"	94	-19	12	-5
"2259"	"dynamic"	"hard"	"bmg"	95	-17	-5	42
"2283"	"dynamic"	"hard"	"bmg"	96	-17	45	1
"2307"	"dynamic"	"hard"	"bmg"	97	-27	10	-16
"2331"	"dynamic"	"hard"	"bmg"	98	9	33	-44
"2355"	"dynamic"	"hard"	"bmg"	99	-44	8	-17
"2379"	"dynamic"	"hard"	"bmg"	100	-9	25	17
"2403"	"dynamic"	"hard"	"bmg"	101	14	12	-36
"2427"	"dynamic"	"hard"	"bmg"	102	-18	5	6
"2451"	"dynamic"	"hard"	"bmg"	103	-17	0	28
"2475"	"dynamic"	"hard"	"bmg"	104	3	53	11
"2499"	"dynamic"	"hard"	"bmg"	105	27	55	7
"2523"	"dynamic"	"hard"	"bmg"	106	3	-32	49
"2547"	"dynamic"	"hard"	"bmg"	107	6	-8	23
"2571"	"dynamic"	"hard"	"bmg"	108	-5	-25	46
"2595"	"dynamic"	"hard"	"bmg"	109	-86	2	-31
"2619"	"dynamic"	"hard"	"bmg"	110	13	1	-28
"2643"	"dynamic"	"hard"	"bmg"	111	29	-53	4
"2667"	"dynamic"	"hard"	"bmg"	112	30	-30	-11
"2691"	"dynamic"	"hard"	"bmg"	113	4	-25	-43
"2715"	"dynamic"	"hard"	"bmg"	114	4	-81	65
"2739"	"dynamic"	"hard"	"bmg"	115	1	10	-19
"2763"	"dynamic"	"hard"	"bmg"	116	2	20	7
"2787"	"dynamic"	"hard"	"bmg"	117	22	-1	-19
"2811"	"dynamic"	"hard"	"bmg"	118	51	-29	-9
"2835"	"dynamic"	"hard"	"bmg"	119	-4	-30	-38
"2859"	"dynamic"	"hard"	"bmg"	120	-10	33	31
"2883"	"dynamic"	"hard"	"bmg"	121	-15	-15	38
"2907"	"dynamic"	"hard"	"bmg"	122	18	44	-48
"2931"	"dynamic"	"hard"	"bmg"	123	12	-11	32
"2955"	"dynamic"	"hard"	"bmg"	124	-35	34	6
"2979"	"dynamic"	"hard"	"bmg"	125	75	-72	8
"3003"	"dynamic"	"hard"	"bmg"	126	9	-36	-37
"3027"	"dynamic"	"hard"	"bmg"	127	32	20	0
"3051"	"dynamic"	"hard"	"bmg"	128	17	56	-5
"3075"	"dynamic"	"hard"	"bmg"	129	38	-37	-19
"3099"	"dynamic"	"hard"	"bmg"	130	5	37	23
"3123"	"dynamic"	"hard"	"bmg"	131	28	-46	-63
"3147"	"dynamic"	"hard"	"bmg"	132	-3	-43	-25
"3171"	"dynamic"	"hard"	"bmg"	133	21	59	11
"3195"	"dynamic"	"hard"	"bmg"	134	-41	-7	-68
"3219"	"dynamic"	"hard"	"bmg"	135	-70	22	-58
"3243"	"dynamic"	"hard"	"bmg"	136	18	-10	-49
"3267"	"dynamic"	"hard"	"bmg"	137	22	41	20
"3291"	"dynamic"	"hard"	"bmg"	138	36	27	28
"3315"	"dynamic"	"hard"	"bmg"	139	-25	49	-23
"3339"	"dynamic"	"hard"	"bmg"	140	-16	-16	-27
"3363"	"dynamic"	"hard"	"bmg"	141	19	18	16
"3387"	"dynamic"	"hard"	"bmg"	142	43	48	32
"3411"	"dynamic"	"hard"	"bmg"	143	-41	-38	2
"3435"	"dynamic"	"hard"	"bmg"	144	-52	-10	-1
"3459"	"dynamic"	"hard"	"bmg"	145	15	0	10
"3483"	"dynamic"	"hard"	"bmg"	146	-56	-28	-6
"3507"	"dynamic"	"hard"	"bmg"	147	31	1	-30
"3531"	"dynamic"	"hard"	"bmg"	148	4	-4	6
"3555"	"dynamic"	"hard"	"bmg"	149	0	-22	-32
"3579"	"dynamic"	"hard"	"bmg"	150	5	13	-7
"3603"	"dynamic"	"hard"	"bmg"	151	-19	3	30
"3627"	"dynamic"	"hard"	"bmg"	152	16	32	22
"3651"	"dynamic"	"hard"	"bmg"	153	15	-11	-43
"3675"	"dynamic"	"hard"	"bmg"	154	40	1	11
"3699"	"dynamic"	"hard"	"bmg"	155	-16	25	47
"3723"	"dynamic"	"hard"	"bmg"	156	4	4	-8
"3747"	"dynamic"	"hard"	"bmg"	157	-58	-5	12
"3771"	"dynamic"	"hard"	"bmg"	158	32	-25	-40
"3795"	"dynamic"	"hard"	"bmg"	159	59	0	-52
"3819"	"dynamic"	"hard"	"bmg"	160	43	-19	-46
"3843"	"dynamic"	"hard"	"bmg"	161	5	-63	-9
"3867"	"dynamic"	"hard"	"bmg"	162	15	29	-25
"3891"	"dynamic"	"hard"	"bmg"	163	-46	-51	-5
"3915"	"dynamic"	"hard"	"bmg"	164	30	-27	29
"3939"	"dynamic"	"hard"	"bmg"	165	-6	30	-20
"3963"	"dynamic"	"hard"	"bmg"	166	-3	6	8
"3987"	"dynamic"	"hard"	"bmg"	167	-1	-19	31
"4011"	"dynamic"	"hard"	"bmg"	168	3	26	13
"4035"	"dynamic"	"hard"	"bmg"	169	-24	53	-4
"4059"	"dynamic"	"hard"	"bmg"	170	15	1	-34
"4083"	"dynamic"	"hard"	"bmg"	171	39	-21	-7
"4107"	"dynamic"	"hard"	"bmg"	172	-24	42	24
