gameid	outcome	a	b	c	d
653	39	-2	0	-4	-3
653	40	6	-3	-2	-8
653	41	10	2	3	-3
653	42	10	-6	-1	-7
653	43	2	-5	-3	-11
653	44	10	-4	-5	-9
653	45	0	-5	2	-5
653	46	7	-5	-9	-3
653	47	6	-5	-10	-2
653	48	8	-7	-2	-9
653	49	-1	-4	-12	0
653	50	4	-13	-14	-6
653	51	6	-2	-6	-4
653	52	4	-2	-3	-3
653	53	2	-9	-2	-13
653	54	-1	0	-7	-16
653	55	12	-4	-10	-4
653	56	0	-6	5	-2
653	57	6	-2	-2	-9
653	58	15	4	-1	-3
653	59	5	-2	-9	-10
653	60	9	-8	-7	-2
653	61	3	-1	-10	1
653	62	13	-4	2	-5
653	63	1	-14	-11	4
653	64	2	-3	-11	-8
653	65	6	-17	2	4
653	66	-2	-5	-15	-12
653	67	10	-3	-7	-6
653	68	6	-10	-9	-7
653	69	4	-5	-10	2
653	70	2	2	-13	2
653	71	4	1	-8	-11
653	72	-2	-4	-7	-5
653	73	9	-3	-4	-9
653	74	0	-8	-1	0
653	75	1	-8	-10	1
653	76	9	-8	-7	-7
653	77	-3	-5	3	-2
653	78	5	-7	-7	-11
653	79	-2	-13	-11	-4
653	80	4	-4	-6	-5
653	81	-5	-8	1	-5
653	82	9	-5	1	-7
653	83	0	-9	-8	-6
653	84	4	-4	-2	-6
653	85	7	7	0	-3
653	86	13	1	4	-8
653	87	7	-4	0	-7
653	88	4	-2	-8	-3
653	89	2	-12	-11	-15
653	90	11	-21	-3	-4
653	91	3	-3	-3	-10
653	92	7	-3	-1	5
653	93	4	10	-1	-6
653	94	4	-5	-5	-10
653	95	5	-4	-9	-7
653	96	12	-7	-4	-10
653	97	5	-9	-6	2
653	98	7	-4	-8	-7
653	99	11	-12	-11	-4
653	100	9	-7	8	-5
654	1	38	-7	-21	-6
654	2	15	21	11	1
654	3	22	-29	-13	-47
654	4	-9	-8	-9	-24
654	5	1	-18	-2	-15
654	6	1	12	-12	-2
654	7	17	-44	-25	13
654	8	12	-10	-53	13
654	9	1	-3	-62	-33
654	10	-10	10	-3	-25
654	11	-16	-10	-8	-5
654	12	25	-33	-5	-40
654	13	11	-48	38	-15
654	14	27	-16	-12	-21
654	15	13	-7	26	14
654	16	8	-13	18	20
654	17	-10	6	6	-27
654	18	-13	-5	-31	-10
654	19	-2	6	-19	30
654	20	11	8	-52	5
654	21	25	35	-19	-21
654	22	27	23	1	-9
654	23	53	-5	10	21
654	24	20	-5	6	-8
654	25	46	-14	-8	21
654	26	35	6	22	-31
654	27	10	17	-24	0
654	28	12	-37	6	28
654	29	-13	12	-24	-30
654	30	18	2	2	-22
654	31	-19	-28	-18	-38
654	32	-2	14	3	-27
654	33	-1	8	-9	7
654	34	-5	-13	-12	17
654	35	-13	-6	-20	-7
654	36	2	22	-15	12
654	37	21	-13	-24	-20
654	38	-13	-23	-36	-3
654	39	34	-11	-18	-21
654	40	17	16	-3	-38
654	41	-5	-18	-15	0
654	42	-19	-1	17	28
654	43	-7	-6	-37	-2
654	44	18	9	6	10
654	45	16	0	20	-11
654	46	26	5	8	46
654	47	-20	-19	11	-13
654	48	-7	-13	4	25
654	49	31	-17	-4	17
654	50	24	-1	-12	-8
654	51	18	18	-37	-18
654	52	-12	9	4	13
654	53	0	-7	37	-42
654	54	-14	-2	-4	-20
654	55	-28	-8	23	3
654	56	24	12	-13	-26
654	57	32	2	-5	-5
654	58	-5	5	22	9
654	59	11	-3	18	34
654	60	-2	-6	19	24
654	61	5	11	-16	-2
654	62	8	14	16	-25
654	63	-1	-14	-4	-35
654	64	29	23	7	-27
654	65	-20	-18	0	0
654	66	9	3	-16	27
654	67	8	-22	-5	5
654	68	-8	-4	-28	-17
654	69	4	-7	14	-10
654	70	-23	0	-2	-13
654	71	17	-10	13	-29
654	72	6	7	20	14
654	73	5	28	-25	-12
654	74	-8	-30	-6	-11
654	75	-18	-58	10	-28
654	76	-10	29	17	-20
654	77	-25	-5	-12	13
654	78	6	-24	-48	9
654	79	-21	22	-22	17
654	80	29	-32	20	-12
654	81	9	-11	-11	-21
654	82	-9	13	-8	-30
654	83	9	-2	-18	15
654	84	24	7	-12	6
654	85	1	16	16	1
654	86	-17	-2	-13	-42
654	87	1	-62	-5	-16
654	88	-11	-20	33	-16
654	89	22	14	4	-4
654	90	5	-20	-25	13
654	91	-21	5	-22	21
654	92	-5	-15	-30	0
654	93	22	-39	11	12
654	94	-9	-14	23	-1
654	95	-3	-4	5	10
654	96	6	-49	-15	-6
654	97	14	-12	10	-13
654	98	-16	12	-17	2
654	99	6	4	6	-5
654	100	8	-10	-19	4
